ID_Depense,Date_Depense,Categorie_Depense,Montant,ID_Magasin
D0000001,2023-01-02,Loyer,4870,M01
D0000002,2023-01-05,Salaires,7126,M01
D0000003,2023-01-06,Publicité,189,M01
D0000004,2023-01-13,Divers,168,M01
D0000005,2023-02-02,Loyer,4870,M01
D0000006,2023-02-05,Salaires,8809,M01
D0000007,2023-02-18,Publicité,154,M01
D0000008,2023-02-12,Divers,171,M01
D0000009,2023-03-02,Loyer,4870,M01
D0000010,2023-03-05,Salaires,8749,M01
D0000011,2023-03-01,Publicité,180,M01
D0000012,2023-03-06,Divers,150,M01
D0000013,2023-04-02,Loyer,4870,M01
D0000014,2023-04-05,Salaires,7330,M01
D0000015,2023-04-02,Divers,55,M01
D0000016,2023-05-02,Loyer,4870,M01
D0000017,2023-05-05,Salaires,7029,M01
D0000018,2023-05-26,Divers,161,M01
D0000019,2023-06-02,Loyer,4870,M01
D0000020,2023-06-05,Salaires,8729,M01
D0000021,2023-06-12,Divers,162,M01
D0000022,2023-07-02,Loyer,4870,M01
D0000023,2023-07-05,Salaires,7429,M01
D0000024,2023-07-07,Publicité,100,M01
D0000025,2023-07-25,Divers,172,M01
D0000026,2023-08-02,Loyer,4870,M01
D0000027,2023-08-05,Salaires,8310,M01
D0000028,2023-08-20,Publicité,184,M01
D0000029,2023-08-20,Divers,148,M01
D0000030,2023-09-02,Loyer,4870,M01
D0000031,2023-09-05,Salaires,7615,M01
D0000032,2023-09-23,Divers,59,M01
D0000033,2023-10-02,Loyer,4870,M01
D0000034,2023-10-05,Salaires,7001,M01
D0000035,2023-10-16,Publicité,180,M01
D0000036,2023-10-19,Divers,152,M01
D0000037,2023-11-02,Loyer,4870,M01
D0000038,2023-11-05,Salaires,7005,M01
D0000039,2023-11-14,Divers,125,M01
D0000040,2023-12-02,Loyer,4870,M01
D0000041,2023-12-05,Salaires,7208,M01
D0000042,2023-12-03,Divers,174,M01
D0000043,2024-01-02,Loyer,5256,M01
D0000044,2024-01-05,Salaires,8259,M01
D0000045,2024-01-22,Divers,78,M01
D0000046,2024-02-02,Loyer,5256,M01
D0000047,2024-02-05,Salaires,8718,M01
D0000048,2024-02-21,Divers,146,M01
D0000049,2024-03-02,Loyer,5256,M01
D0000050,2024-03-05,Salaires,7939,M01
D0000051,2024-03-10,Publicité,177,M01
