auteur,avis,contributions,hotel,nb_avis_total,note,note_moyenne,sentiment_label,sentiment_score,sentiment_num,sentiment_z,sentiment_polarity,langue,avis_clean,topic_id,topic_score,topic_label,macro_topic,nb_mots,influence_score,influential_flag
alexandre Morel,"Hotel situé à 6 minutes de la gare montparnasse. Les chambres sont très correctes pour un prix qui n'est pas excessif du tout. La chambre est moderne, clim, tv connectée, cafetière avec dosette, petit",62,BW_Bretagne,549,5.0,3.8,4 stars,0.4884156882762909,4,0.5,pos,fr,hotel situé à minutes de la gare montparnasse les chambres sont très correctes pour un prix qui n'est pas excessif du tout la chambre est moderne clim tv connectée cafetière avec dosette petit,0,0.0432483321316456,"situé, hôtel, hôtel situé, métro",Localisation / Transports,35,0.2498906341790516,0
Marilyn Robin,"Cet hôtel est idéal, le personnel est à l'écoute, souriant et très serviable. La chambre était parfaite, la propreté des lieux au top. La literie de qualité nous a permis de nous reposer, ainsi que le calme de l'hôtel. Le petit déjeuner est",8,BW_Bretagne,549,5.0,3.8,5 stars,0.7358641624450684,5,1.0,pos,fr,cet hôtel est idéal le personnel est à l'écoute souriant et très serviable la chambre était parfaite la propreté des lieux au top la literie de qualité nous a permis de nous reposer ainsi que le calme de l'hôtel le petit déjeuner est,2,0.0736482040762566,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,45,0.4726437460013842,0
Benjamin,"Hôtel parfait pour un week end à Paris, proche gare Montparnasse, station de métro à 4 min à pied. Accueil, chambre et petit déjeuner au top ! Mention spéciale à John pour son accueil et sa disponibilité. Adresse à conserver pour un futur séjour",1,BW_Bretagne,549,5.0,3.8,5 stars,0.687488853931427,5,1.0,pos,fr,hôtel parfait pour un week end à paris proche gare montparnasse station de métro à min à pied accueil chambre et petit déjeuner au top mention spéciale à john pour son accueil et sa disponibilité adresse à conserver pour un futur séjour,7,0.1007495428074257,"agréable, super, accueil, séjour",Accueil / Service,43,0.4822532657868975,0
jerome schenck,"Je réserve très régulièrement des chambres d'hôtel dans ce quartier et c'est l'un des meilleurs hôtels dans lesquels j'ai séjourné. Très bien situé à proximité des moyens de transports, des restaurants, bars, théâtres... L'accueil a été",138,BW_Bretagne,549,5.0,3.8,5 stars,0.7442840337753296,5,1.0,pos,fr,je réserve très régulièrement des chambres d'hôtel dans ce quartier et c'est l'un des meilleurs hôtels dans lesquels j'ai séjourné très bien situé à proximité des moyens de transports des restaurants bars théâtres l'accueil a été,0,0.0638757613468251,"situé, hôtel, hôtel situé, métro",Localisation / Transports,41,0.4645613706856991,0
813dominiquek,"L'accueil est sympathique et serviable. Les chambres sont correctes et idéales pour les familles. Le petit déjeuner est copieux. Tout est parfait. L'emplacement est idéal, près de la gare, des restaurants, des théâtres. Merveilleux souvenir en famille",0,BW_Bretagne,549,5.0,3.8,5 stars,0.7108613848686218,5,1.0,pos,fr,l'accueil est sympathique et serviable les chambres sont correctes et idéales pour les familles le petit déjeuner est copieux tout est parfait l'emplacement est idéal près de la gare des restaurants des théâtres merveilleux souvenir en famille,2,0.0882305269749416,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,39,0.4729987890108579,0
Uk Renn,"Rien à dire de négatif sur cet hôtel. Emplacement à 10 minutes à pieds de la Gare Montparnasse, personnel attentif et professionnel, chambre de belle taille (nous avons été surclassés sans en avoir fait la demande, nous retrouvant dans une",66,BW_Bretagne,549,5.0,3.8,5 stars,0.4289086461067199,5,1.0,pos,fr,rien à dire de négatif sur cet hôtel emplacement à minutes à pieds de la gare montparnasse personnel attentif et professionnel chambre de belle taille nous avons été surclassés sans en avoir fait la demande nous retrouvant dans une,6,0.0469064508401133,"emplacement, excellent, excellent emplacement, parfait",Localisation / Transports,40,0.4563417137375031,0
Christine Evers,"Nous avons passé un excellent séjour au BW Bretagne : chambre calme avec des lits confortables, petites attentions très appréciables (boissons, fruits, bonbons) et personnel très agréable et serviable (accueil, femmes de chambre et personne",24,BW_Bretagne,549,5.0,3.8,5 stars,0.6736710667610168,5,1.0,pos,fr,nous avons passé un excellent séjour au bw bretagne chambre calme avec des lits confortables petites attentions très appréciables boissons fruits bonbons et personnel très agréable et serviable accueil femmes de chambre et personne,7,0.1397515980067113,"agréable, super, accueil, séjour",Accueil / Service,34,0.4900954565718344,1
Angelina Le Bivic,"Acceuil excellent.... chaleureux et sympathique. Sens du service évident. Chambre parfaite au calme et très propre. Litière hyper méga confortable... un très très grand merci de la part de angelina, Mélanie et Magali",16,BW_Bretagne,549,5.0,3.8,5 stars,0.8401041626930237,5,1.0,pos,fr,acceuil excellent chaleureux et sympathique sens du service évident chambre parfaite au calme et très propre litière hyper méga confortable un très très grand merci de la part de angelina mélanie et magali,9,0.0836605032417188,"propre, hôtel propre, chambre propre, confortable",Propreté,33,0.4651805584120221,0
laviec2017,Très bon moment passé dans cet hôtel pour mon week end de 3 jours. L’emplacement est vraiment super avec la ligne de métro « Pernety » juste à côté. De plus c’est juste à côté de la gare ce qui est vraiment pratique. Le personnel est très,0,BW_Bretagne,549,5.0,3.8,5 stars,0.6450016498565674,5,1.0,pos,fr,très bon moment passé dans cet hôtel pour mon week end de jours l emplacement est vraiment super avec la ligne de métro pernety juste à côté de plus c est juste à côté de la gare ce qui est vraiment pratique le personnel est très,6,0.0506319077118932,"emplacement, excellent, excellent emplacement, parfait",Localisation / Transports,47,0.4647775201112422,0
Isabelle Thaille,"Une très bonne surprise, ambiance très cosy et reposante. Accueil au top. Petit déjeuner très diversifié dans un cadre original. Très bien situé, dans un quartier animé et commerçant, près des transports. Nous reviendrons!",7,BW_Bretagne,549,5.0,3.8,5 stars,0.6422910094261169,5,1.0,pos,fr,une très bonne surprise ambiance très cosy et reposante accueil au top petit déjeuner très diversifié dans un cadre original très bien situé dans un quartier animé et commerçant près des transports nous reviendrons,2,0.0799327338244049,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,34,0.4645677260385027,0
Trail44728861052,"Personnel très agréable et accueillant, mention spécial au personnel à la réception toujours souriant. L'hôtel est à 10 minutes à pied de la Gare Montparnasse, les transports sont à maximum 5 minutes. La chambre pas très grande mais comme",0,BW_Bretagne,549,5.0,3.8,4 stars,0.5641539096832275,4,0.5,pos,fr,personnel très agréable et accueillant mention spécial au personnel à la réception toujours souriant l'hôtel est à minutes à pied de la gare montparnasse les transports sont à maximum minutes la chambre pas très grande mais comme,7,0.0938123599844886,"agréable, super, accueil, séjour",Accueil / Service,40,0.2763588341797987,0
Lea Pelanne,"Suite à un séjour de deux nuits à deux, je recommande vivement ! Hôtel impeccablement propre, literie de grande qualité et petit-déjeuner très complet. Mention spéciale pour le personnel souriant, agréable et toujours prêt à rendre service",11,BW_Bretagne,549,5.0,3.8,5 stars,0.8054815530776978,5,1.0,pos,fr,suite à un séjour de deux nuits à deux je recommande vivement hôtel impeccablement propre literie de grande qualité et petit-déjeuner très complet mention spéciale pour le personnel souriant agréable et toujours prêt à rendre service,7,0.1435067961922081,"agréable, super, accueil, séjour",Accueil / Service,37,0.4946319746261411,1
pierreyvesb975,"Personnel accueillant et sympathique. Hotel cosy et confortable, à deux pas de Montparnasse. J'étais là pour un aller retour, pour un concert à Paris. Je recommande. Je reviendrais, clairement ! Welcoming and friendly staff. The hotel is",0,BW_Bretagne,549,5.0,3.8,5 stars,0.5620003938674927,5,1.0,pos,fr,personnel accueillant et sympathique hotel cosy et confortable à deux pas de montparnasse j'étais là pour un aller retour pour un concert à paris je recommande je reviendrais clairement welcoming and friendly staff the hotel is,5,0.1154109519108437,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,37,0.4826420588742258,0
Nicolas Checcacci,"Hotel tout récemment rénové, avec goût. Chambre propre, fonctionnelle, déco moderne. Super accueil qui plus est. Merci et à très bientôt.",5,BW_Bretagne,549,5.0,3.8,5 stars,0.7484666109085083,5,1.0,pos,fr,hotel tout récemment rénové avec goût chambre propre fonctionnelle déco moderne super accueil qui plus est merci et à très bientôt,9,0.0900235783534376,"propre, hôtel propre, chambre propre, confortable",Propreté,21,0.4561600626127312,0
Barnabé Gillet,Qualité et service exceptionnels. Chambre petite mais suffisante en termes de qualité et confort :) Parfait.,66,BW_Bretagne,549,5.0,3.8,5 stars,0.8374001979827881,5,1.0,pos,fr,qualité et service exceptionnels chambre petite mais suffisante en termes de qualité et confort parfait,3,0.1635578922497988,"chambre, petite, chambre petite, lit",Chambre / Confort,15,0.4816728975857175,0
VERONIQUE BOUSSLAT,Un hôtel calme avec une équipe accueillante. Une chambre très confortable et bien rénovée avec une literie grand confort. Un peu déjeuner à 16€ très honnête et servi jusqu'à 11h.,6,BW_Bretagne,549,5.0,3.8,4 stars,0.5225415229797363,4,0.5,pos,fr,un hôtel calme avec une équipe accueillante une chambre très confortable et bien rénovée avec une literie grand confort un peu déjeuner à très honnête et servi jusqu'à h,3,0.0534983056500588,"chambre, petite, chambre petite, lit",Chambre / Confort,31,0.2503528351201716,0
