macro_topic,side,hotel,sentiment_z,avis
Accueil / Service,pos,BW_Ronceray_Opera,1.0,"Chère Bénédicte Marin, Je suis sincèrement ravie que vous ayez apprécié votre expérience à l'hôtel Best Plus"
Accueil / Service,pos,BW_Bretagne,1.0,"Hôtel parfait pour un week end à Paris, proche gare Montparnasse, station de métro à 4 min à pied. Accueil, chambre et petit déjeuner au top ! Mention spéciale à John pour son accueil et sa disponibilité. Adresse à conserver pour un futur séjour"
Accueil / Service,pos,BW_Bretagne,1.0,"Nous avons passé un excellent séjour au BW Bretagne : chambre calme avec des lits confortables, petites attentions très appréciables (boissons, fruits, bonbons) et personnel très agréable et serviable (accueil, femmes de chambre et personne"
Accueil / Service,neg,BW_Ronceray_Opera,-1.0,"Très petit, et tragique de venir à peine d'entrer dans la pièce et la porte s'ouvre soudainement et le personnel entre. Du jamais vu !"
Accueil / Service,neg,BW_Ronceray_Opera,-1.0,"Ne réservez pas cet hôtel, le personnel ne se souciera pas du client. Surtout la personne qui répond à l'appel. Ils ne vous divertissent pas, imaginez simplement que vous payez pour l'hôtel mais que vous n'obtiendrez aucun service. Réservez un autre hôtel et ne risquez jamais votre argent dans cet hôtel. C'est absolument lié à la manière du patron. Le pire hôtel de tous les temps."
Accueil / Service,neg,BW_Ronceray_Opera,-1.0,Le personnel peut-être pakistanais se moque de mon nom lors de l'enregistrement. Ce n’est tout simplement pas acceptable dans n’importe quel type d’hôtel. Il l'a fait 2 fois jusqu'à ce que son collègue lui dise que ce n'était pas approprié.
Chambre / Confort,pos,BW_Ronceray_Opera,1.0,"Bonjour Emmanuel, Merci et belle journée à vous. Plus"
Chambre / Confort,pos,BW_Bretagne,1.0,Qualité et service exceptionnels. Chambre petite mais suffisante en termes de qualité et confort :) Parfait.
Chambre / Confort,pos,BW_Bretagne,1.0,Bonjour J’ai trouvé une chambre dans l’urgence pour une nuit dans cet établissement. La qualité de la chambre était vraiment excellente pour un prix tout à fait
Chambre / Confort,neg,BW_Ronceray_Opera,-1.0,Hôtel très hostile - ne se sentait pas le bienvenu. Petit déjeuner très très médiocre. Ne vaut pas son prix. Chambre très petite. Je ne le recommanderais pas.
Chambre / Confort,neg,BW_Ronceray_Opera,-1.0,"NE RESTEZ PAS ICI !!!! Je suis arrivé dans la nuit du 2 avril 2015 et c'était difficile à trouver (dans une ruelle/passage à l'écart de la rue principale). L'employé de nuit m'a crié dessus quand j'ai demandé si la chambre avait le wifi. Il m'a dit que je ne devrais pas poser de questions lors de l'enregistrement, il m'enregistre et je dois attendre. Ce fut le début du PERSONNEL EXTRÊMEMENT RUDE. Les chambres sont absolument horribles. J'ai déjà séjourné dans des décharges, mais cet endroit remporte le gâteau. J'ai dû garder les rideaux fermés car ma fenêtre était recouverte de plastique à cause de la rénovation de l'extérieur. Je n’avais donc ni vue ni soleil. Je suis revenu le lendemain après avoir marché dans Paris et je suis entré dans le hall avec une dame au bureau qui me criait dessus et me poursuivait. Avant de pouvoir dire quoi que ce soit, on m'a interrogé sur le fait d'être un invité, on m'a fait vérifier ma chambre et mon nom et j'ai été traité horriblement par la suite (je n'ai toujours aucune raison). Je suis allé dans ma chambre pour découvrir que quelqu'un s'y trouvait (j'avais un panneau « Ne pas déranger » sur la poignée de la porte). Il semblait que les travailleurs de l'extérieur ouvraient ma fenêtre pour utiliser ma salle de bain. J'étais tellement en colère, mais l'hôtel s'en fichait. Quand j'ai essayé de payer, j'ai demandé à la réception de m'appeler un taxi et le gars m'a crié de ne pas m'appeler. C'était ma goutte d'eau avec ces individus impolis. Je ne resterai jamais dans cet hôtel et si je n'avais pas réservé via Orbitz Travel, j'aurais demandé mon argent sur place. ATTENTION, RESTEZ À L'ÉCART DE CETTE DÉCHARGE !!!!"
